,DoS,Normal,Probe,R2L,U2R
DoS,0.7625368731563422,0.23196567444355054,0.0054974524001072675,0.0,0.0
Normal,0.005766656369066008,0.974050046339203,0.019462465245597776,0.0004119040263618577,0.00030892801977139327
Probe,0.06691449814126393,0.34531185460553493,0.5877736472532011,0.0,0.0
R2L,0.0,0.8914306463326072,0.0014524328249818446,0.10384894698620188,0.0032679738562091504
U2R,0.0,0.925,0.02,0.015,0.04
