,DoS,Normal,Probe,R2L,U2R
DoS,0.7940466613032985,0.18812013944757308,0.01783319924912845,0.0,0.0
Normal,0.005766656369066008,0.9285346514262177,0.06333024405313561,0.0013386880856760374,0.0010297600659046442
Probe,0.06939281288723669,0.19330855018587362,0.7368855844692276,0.0,0.0004130524576621231
R2L,0.0,0.7759622367465505,0.0018155410312273058,0.20406681190994916,0.01815541031227306
U2R,0.0,0.735,0.09,0.02,0.155
