model,seed,threshold,known_macro_f1,unknown_recall,known_false_rejection_rate,auroc,aupr,known_validation_samples,unknown_samples
equal_rf,3407,0.6895663087161465,0.9435694423778109,0.38348803126526626,0.049,0.9417220322423058,0.9246519122282908,1000,2047
cfrg_forest,3407,0.9391148615661999,0.9268076694412588,0.0004885197850512946,0.049,0.7805158768930142,0.7790121005500175,1000,2047
