tree_score,tree_weight
0.9306820396314948,0.005105058998116398
0.9185592399151213,0.00503856195064047
0.9228730408020812,0.0050622243907610005
0.912655284624733,0.0050061770556965686
0.9147495196452466,0.005017664537865952
0.9066665800381616,0.004973327286457646
0.9266591034109304,0.00508299203445204
0.9203871892774849,0.005048588779291982
0.9145573552575827,0.0050166104608615775
0.9208519146918658,0.0050511379320179505
0.8947587634553221,0.0049080094833783595
0.912714062112553,0.005006499467143556
0.920794345654221,0.005050822149268176
0.9183318759878463,0.005037314794024832
0.9047166535814899,0.004962631378317818
0.9307327916874046,0.005105337387758254
0.9222299022563908,0.005058696590631744
0.9110510240565807,0.004997377224497502
0.9145539339911684,0.005016591694230065
0.9165297252219027,0.005027429478103967
0.92483261435471,0.00507297321600025
0.9188326780149219,0.005040061837360499
0.9066728668204638,0.004973361771268994
0.8985781448361326,0.004928959890128494
0.9048581731136263,0.004963407653705304
0.924718352341751,0.005072346455954865
0.9027246181217171,0.004951704490169751
0.9066698871087281,0.0049733454266920486
0.8981197461754984,0.004926445441468756
0.9067035030190507,0.004973529819640622
0.9184876813358347,0.005038169431226188
0.9052125623734254,0.004965351580849625
0.8964483273363196,0.004917277227813381
0.904409837212062,0.004960948402176863
0.9185756778920353,0.005038652117677527
0.9150477565081877,0.0050193004529431665
0.9245518739428615,0.005071433273995774
0.9207985363690196,0.005050845136545656
0.9003313262614958,0.004938576595114457
0.9169216094217301,0.00502957907579185
0.8947803628837603,0.0049081279624633815
0.8961407865121009,0.004915590277829275
0.8854854498367078,0.004857142687721965
0.9147501797053075,0.0050176681584854655
0.8870544457791981,0.004865749082294038
0.9111725716865712,0.004998043948250362
0.9185295425025382,0.005038399051780417
0.9123371784896767,0.005004432151940001
0.879294062778824,0.004823181146760939
0.9109433716564613,0.004996786720081929
0.9088791597972767,0.004985463923598277
0.9048707963485582,0.004963476895784049
0.9303613557342084,0.0051032999545916734
0.9126221710509238,0.005005995418208431
0.9126380548479418,0.0050060825454091695
0.9143984929655321,0.005015739055441726
0.9087587538979722,0.004984803462567016
0.9035042634196344,0.004955981069145147
0.9225153813250959,0.005060262525533681
0.9086707664570186,0.004984320826115432
0.9166510445698112,0.005028094949663868
0.9168705346316545,0.0050292989158601566
0.9342662293837636,0.005124719311055285
0.9067341181862332,0.004973697752648941
0.902563081342033,0.00495081841441505
0.9165011197864503,0.005027272569052935
0.9124379304583234,0.005004984805501813
0.9110919031364906,0.004997601458022854
0.9203978751698061,0.005048647394488607
0.9007145096590332,0.0049406784663961895
0.9183742663903155,0.005037547317589642
0.9107499179043975,0.004995725570542519
0.9186918741483959,0.005039289487604979
0.9150723553722209,0.005019435384796182
0.8913322749453924,0.004889214207167306
0.9066330436464554,0.004973143329691582
0.9168195576193717,0.005029019292267813
0.9145376000299226,0.005016502097748902
0.9227323210569629,0.005061452502435625
0.9089721492758287,0.0049859739976665365
0.9065715041566952,0.0049728057678685746
0.9087478291189507,0.004984743537008048
0.9204514689574885,0.005048941371847576
0.9043496732906233,0.004960618385742223
0.9242578638225014,0.005069820543818802
0.9086114178219443,0.004983995281761282
0.9109784390657663,0.004996979074920411
0.9130796885374476,0.005008505033374418
0.8863029625277428,0.004861626980253377
0.8932080987375031,0.004899503640852496
0.9107729978253639,0.0049958521705554
0.9225906901943771,0.0050606756163685635
0.9052484808265031,0.004965548603908279
0.9148195442084743,0.005018048642760397
0.9029738834737049,0.004953071782406943
0.9065814711420777,0.004972860439653614
0.9086075215841557,0.004983973909775002
0.8989470509535362,0.004930983446417229
0.9077697326049116,0.004979378395963752
0.914773105874015,0.005017793915122929
0.9067325937849597,0.004973689390868971
0.9166782415989498,0.005028244133200687
0.9209584443351128,0.005051722277788756
0.920527928136029,0.005049360772460002
0.9067068487405298,0.00497354817188641
0.9147530204320662,0.0050176837406897875
0.9008828493173512,0.004941601857899237
