,Analysis,Backdoor,DoS,Exploits,Fuzzers,Generic,Normal,Reconnaissance,Shellcode,Worms
Analysis,21,267,236,57,93,0,3,0,0,0
Backdoor,20,201,245,9,99,0,2,0,7,0
DoS,175,2049,763,772,173,0,8,46,99,4
Exploits,213,2058,728,7136,395,0,54,288,256,4
Fuzzers,55,526,481,356,3742,0,378,117,407,0
Generic,2,6,79,444,69,18165,2,9,94,1
Normal,982,1,31,721,9632,0,25009,215,406,3
Reconnaissance,21,262,46,168,35,0,2,2888,74,0
Shellcode,0,1,0,18,32,0,3,13,311,0
Worms,0,0,0,25,1,0,0,0,4,14
