model,metric,estimate,ci95_low,ci95_high,replicates,seed
extra_trees_chi2,accuracy,0.6621119370354176,0.6586977117038332,0.6654381042607977,200,20260905
extra_trees_chi2,balanced_accuracy,0.601582610971158,0.5860045746868355,0.6186130020208739,200,20260905
extra_trees_chi2,macro_f1,0.42122305459628484,0.4151915633895974,0.42779506180586147,200,20260905
extra_trees_chi2,log_loss,0.8635992889240027,0.8544364114199071,0.8725411123550808,200,20260905
extra_trees_chi2,brier_macro,0.039797728360854163,0.03943575251514241,0.04013554381882723,200,20260905
extra_trees_chi2,ece,0.09419292591081375,0.0918305441867192,0.09622848360393065,200,20260905
rf_all,accuracy,0.7051814604285089,0.7023344507603362,0.7082258417140359,200,20260905
rf_all,balanced_accuracy,0.564667091026137,0.5481781373704536,0.5799562858467863,200,20260905
rf_all,macro_f1,0.481125010075631,0.46605375301271096,0.49223351168236773,200,20260905
rf_all,log_loss,0.6601421726300506,0.6533261387407017,0.6658414446619271,200,20260905
rf_all,brier_macro,0.033823314634571056,0.03350812750541953,0.034115855297268335,200,20260905
rf_all,ece,0.07996706770254003,0.07785349105401,0.08217321726373462,200,20260905
rf_chi2,accuracy,0.7075013360540252,0.7041050259923237,0.7106735534178692,200,20260905
rf_chi2,balanced_accuracy,0.5426235824479927,0.5296592714975156,0.5584130788002775,200,20260905
rf_chi2,macro_f1,0.46716798307555096,0.45282307208789996,0.4818615168322562,200,20260905
rf_chi2,log_loss,0.6893519745551159,0.6804752212626343,0.6980812113523801,200,20260905
rf_chi2,brier_macro,0.03430951824311136,0.03397997083778046,0.03463312097311129,200,20260905
rf_chi2,ece,0.07399187355507736,0.07176470557850367,0.07643843168049035,200,20260905
xgboost_chi2,accuracy,0.76695574017393,0.7643428436088034,0.7703608560462517,200,20260905
xgboost_chi2,balanced_accuracy,0.5272523216390163,0.5106219099220515,0.5415701193087369,200,20260905
xgboost_chi2,macro_f1,0.4833915689859821,0.4664543087451543,0.4987729597759478,200,20260905
xgboost_chi2,log_loss,0.5247739345179632,0.5182298934141009,0.5309887740273136,200,20260905
xgboost_chi2,brier_macro,0.02849633662342722,0.028171522863743345,0.028801373169611164,200,20260905
xgboost_chi2,ece,0.04061924234207313,0.038506605145591094,0.04287420522634992,200,20260905
