protocol,seed,train_rows,test_rows,training_only_dedup,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,train_seconds
global_dedup_before_split,42,2355,505,False,0.9524752475247524,0.9524752475247524,0.9548293966419413,0.9524752475247524,0.9525451263779761,0.2630298000003677
split_first_training_only_dedup,42,2253,505,True,0.9584158415841584,0.9584158415841584,0.9619712610647253,0.9584158415841584,0.9585027556942884,0.25720359999104403
global_dedup_before_split,2024,2355,505,False,0.9524752475247524,0.9524752475247524,0.9552445369443531,0.9524752475247524,0.9521707005477265,0.2597609999938868
split_first_training_only_dedup,2024,2254,505,True,0.9504950495049505,0.9504950495049505,0.9507840572126286,0.9504950495049505,0.9504457618426017,0.2723217999737244
global_dedup_before_split,3407,2355,505,False,0.9623762376237623,0.9623762376237623,0.963711808852209,0.9623762376237623,0.9623300024801763,0.25792919998639263
split_first_training_only_dedup,3407,2247,505,True,0.9623762376237623,0.9623762376237623,0.9638426177302971,0.9623762376237623,0.9623179389458439,0.3213890999904834
