,Analysis,Backdoor,DoS,Exploits,Fuzzers,Generic,Normal,Reconnaissance,Shellcode,Worms
Analysis,55,214,231,35,68,41,23,7,3,0
Backdoor,47,155,219,14,81,47,2,9,9,0
DoS,391,1638,883,725,224,59,10,57,99,3
Exploits,422,1643,766,7348,374,96,75,266,136,6
Fuzzers,120,414,446,304,3837,83,502,23,333,0
Generic,4,9,85,424,76,18094,4,3,166,6
Normal,698,21,51,718,9087,2,26174,27,221,1
Reconnaissance,45,206,51,242,55,0,5,2827,65,0
Shellcode,0,1,0,30,34,0,2,7,304,0
Worms,0,0,0,20,0,0,0,0,1,23
