,Analysis,Backdoor,DoS,Exploits,Fuzzers,Generic,Normal,Reconnaissance,Shellcode,Worms
Analysis,56,258,72,36,29,156,22,45,3,0
Backdoor,49,195,62,9,47,162,0,49,10,0
DoS,405,1825,597,609,198,181,4,124,138,8
Exploits,441,1846,370,6829,416,329,36,494,365,6
Fuzzers,120,500,130,43,4395,311,215,237,110,1
Generic,7,17,73,408,536,17700,1,7,115,7
Normal,1469,10,38,591,10891,33,23150,457,357,4
Reconnaissance,46,232,29,76,69,1,1,2880,162,0
Shellcode,0,0,0,6,24,0,0,42,305,1
Worms,0,0,0,19,2,0,0,0,7,16
