model,accuracy,balanced_accuracy,macro_f1,train_seconds,predict_seconds,test_samples,ece,mce
equal_rf_chi2,0.7251372491862217,0.558562222205303,0.4923582635251119,3.680326999994577,0.22045409999554977,82332,0.05740322367026409,0.15958668304839052
extra_trees_chi2,0.6816669095855803,0.5459597221548471,0.4523561431476118,2.6528840999962995,0.2409618999954546,82332,0.05831518863666286,0.12156705522249814
drc_forest_chi2,0.725112957294855,0.5657920304664293,0.4993620092314748,10.669130100002803,1.790707799998927,82332,0.057316739443089335,0.16011543420659696
