model,feature_mode,k,max_depth,cv_macro_f1,cv_accuracy,complexity,C,n_estimators,min_samples_leaf
svm,chi2,60,,0.9276041190125046,0.9282377919320595,10,10.0,,
svm,chi2,60,,0.9324129939201928,0.9329087048832271,100,100.0,,
random_forest,chi2,60,,0.9545216337681411,0.9545647558386412,101,,100.0,1.0
random_forest,chi2,60,,0.9588496274122482,0.9588110403397028,102,,100.0,2.0
random_forest,chi2,60,,0.9528258746788149,0.9528662420382166,104,,100.0,4.0
random_forest,chi2,60,,0.9545650049158333,0.9545647558386412,201,,200.0,1.0
random_forest,chi2,60,,0.958820259276931,0.9588110403397028,202,,200.0,2.0
random_forest,chi2,60,,0.9515426864228237,0.9515923566878982,204,,200.0,4.0
random_forest,chi2,60,,0.9558432729874763,0.9558386411889597,301,,300.0,1.0
random_forest,chi2,60,,0.9583765235366194,0.9583864118895967,302,,300.0,2.0
random_forest,chi2,60,,0.9520021468119158,0.9520169851380043,304,,300.0,4.0
extra_trees,chi2,60,,0.9498116725015443,0.9498938428874734,101,,100.0,1.0
extra_trees,chi2,60,,0.9485083297939845,0.948619957537155,102,,100.0,2.0
extra_trees,chi2,60,,0.9390889673164533,0.9392781316348195,104,,100.0,4.0
extra_trees,chi2,60,,0.9498335357534688,0.9498938428874736,201,,200.0,1.0
extra_trees,chi2,60,,0.9489131328729187,0.9490445859872612,202,,200.0,2.0
extra_trees,chi2,60,,0.9386825357788922,0.9388535031847134,204,,200.0,4.0
extra_trees,chi2,60,,0.9498754549568954,0.9498938428874736,301,,300.0,1.0
extra_trees,chi2,60,,0.9489256492672131,0.9490445859872612,302,,300.0,2.0
extra_trees,chi2,60,,0.9390941004211403,0.9392781316348195,304,,300.0,4.0
