,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,292,0,0,1,0
Brute Force,0,1514,0,2,77
DoS/DDoS,0,0,2994,5,0
Normal,12,0,5,2983,0
Web Attack,0,40,0,2,59
