,precision,recall,f1-score,support
Bot,0.9605263157894737,0.9965870307167235,0.9782244556113903,293.0
Brute Force,0.9742599742599742,0.9504080351537979,0.9621862090880203,1593.0
DoS/DDoS,0.9983327775925308,0.9983327775925308,0.9983327775925308,2999.0
Normal,0.9966588706982961,0.9943333333333333,0.9954947438678459,3000.0
Web Attack,0.4338235294117647,0.5841584158415841,0.4978902953586498,101.0
accuracy,0.9819684447783621,0.9819684447783621,0.9819684447783621,0.9819684447783621
macro avg,0.8727202935504079,0.9047639185275939,0.8864256963036874,7986.0
weighted avg,0.9843755494725683,0.9819684447783621,0.9829894249945047,7986.0
