,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,292,0,0,1,0
Brute Force,0,1513,0,1,79
DoS/DDoS,0,0,2995,4,0
Normal,14,0,4,2982,0
Web Attack,0,39,0,2,60
