,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,287,0,0,6,0
Brute Force,0,1537,0,1,55
DoS/DDoS,0,1,2993,5,0
Normal,4,2,4,2988,2
Web Attack,0,60,1,1,39
