,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,286,0,0,7,0
Brute Force,0,1542,0,0,51
DoS/DDoS,0,1,2993,4,1
Normal,4,1,5,2989,1
Web Attack,0,59,0,1,41
